frequency_hz,comsol_s11_db,comsol_s12_db,comsol_s21_db,comsol_s22_db,delta_s11_complex,delta_s11_db,delta_s12_complex,delta_s12_db,delta_s21_complex,delta_s21_db,delta_s22_complex,delta_s22_db,hfss_s11_db,hfss_s12_db,hfss_s21_db,hfss_s22_db
3750000000.0000005,-36.18569620875468,-0.6292483821377732,-0.6292547576474848,-36.55410459767634,0.011848312681388022,-2.6221182787359467,0.08865260780984945,0.04811695068790223,0.08865253100155979,0.04811057517819062,0.013136594174601184,-1.2086811989986543,-33.56357793001873,-0.6773653328256755,-0.6773653328256755,-35.34542339867769
3800000000.0000005,-35.698171263669934,-0.63879704827955,-0.6388032323626451,-35.93457805518091,0.014621316245106129,-0.9836736878039787,0.08989115744890377,0.04698190396425972,0.08989108639874809,0.04697571988116456,0.01593882495949068,1.4447680737610753,-34.714497575865956,-0.6857789522438097,-0.6857789522438097,-37.37934612894198
3850000000.0,-34.00029779689211,-0.6486696328150097,-0.648675626902024,-34.09400722690699,0.01729848508183994,1.7037769718010338,0.09111291834090476,0.045613995948207364,0.09111286662631825,0.04560800186119307,0.01866073493000171,5.540065804984501,-35.70407476869315,-0.694283628763217,-0.694283628763217,-39.63407303189149
3900000000.0000005,-32.031930511337904,-0.6588629123831742,-0.6588687270818632,-32.049532698765624,0.019852487651344064,4.20747307801804,0.09231366795481054,0.04403177899165056,0.09231364879966705,0.04402596429296157,0.02127012316484151,9.256581397987723,-36.239403589355945,-0.7028946913748247,-0.7028946913748247,-41.30611409675335
3950000000.0,-30.224183464108073,-0.6693627766678538,-0.6693684336445709,-30.209028261067715,0.022257553310716296,5.850400292995353,0.09348966731093578,0.04226151710944703,0.09348969345141822,0.04225586013272997,0.02373839893035367,10.68393138576453,-36.074583757103426,-0.7116242937773009,-0.7116242937773009,-40.892959646832246
4000000000.0,-28.663739390695923,-0.6801443043123058,-0.6801498391906582,-28.63598712517431,0.024489311660649982,6.595996128293287,0.09463780623084178,0.04033655458440355,0.09463788963280682,0.04033101970605113,0.02603934259935169,10.144324848092815,-35.25973551898921,-0.7204808588967093,-0.7204808588967093,-38.780311973267125
4050000000.0,-27.335646109244138,-0.6911722478696359,-0.6911777134952983,-27.304482887179486,0.026524886152772625,6.748098282275905,0.09575573199594727,0.038296394211762896,0.09575588337107982,0.0382909285861005,0.028148725355146495,9.134951594241695,-34.08374439152004,-0.7294686420813988,-0.7294686420813988,-36.43943448142118
4100000000.0000005,-26.20656907940314,-0.7024019280052586,-0.7024073972992995,-26.17643579291208,0.02834306931807801,6.606715102615993,0.09684195645267658,0.036185507708119014,0.0968421845483237,0.03618003841407813,0.030044256737516078,8.217501631257939,-32.81328418201913,-0.7385874357133776,-0.7385874357133776,-34.39393742417002
4150000000.0000005,-25.24557445138249,-0.7137805204200294,-0.7137860880444473,-25.21882167092421,0.02992451883939373,6.348077835499595,0.09789593718712834,0.034051912916241434,0.09789624785092187,0.03404634529182349,0.0317056638401456,7.465557392365117,-31.593652286882083,-0.7478324333362708,-0.7478324333362708,-32.68437906328933
4200000000.0,-24.427829481640014,-0.725248702447502,-0.725254484592689,-24.40586435831026,0.03125194986979801,6.054742458414889,0.09891812910636148,0.03194556331215448,0.0989185241517127,0.03193978116695795,0.03311482037019766,6.852236593153535,-30.482571940054903,-0.7571942657596564,-0.757194265759647,-31.258100951463796
